center, prec, flex, resl, team,  pmat,  rely,  data,  cplx, ruse, docu,  time,  stor,  pvol,  acap,  pcap, pcon,  apex,  plex,  ltex,  tool, site,  sced,   $kloc, <effort, <defects, <months,  $_XX,  $_YY, $_ZZ,  #     notes
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  24.600,   117.6,      767,      15, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     l,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,      34,      72,     1555,    16.2, 0.374, 0.518,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   0.900,     8.4,       28,     4.9, 0.747, 0.001,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   7.700,    31.2,      240,    10.1, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,      98,     300,     4907,    24.4, 0.349, 0.535,    0,            #
       6,    h,    h,    h,   vh,     l,    vh,     l,    xh,    n,    n,    xh,    vh,     l,     h,     h,    n,    vh,    vl,     h,     n,    n,     n,     980,    4560,    50961,    96.4, 0.289, 0.588,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   8.200,      36,      256,    10.4, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,      85,     300,     4256,    23.2, 0.349, 0.535,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   9.700,    25.2,      302,      11, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,      20,     240,      813,    12.8, 0.350, 0.536,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   2.200,     8.4,       69,     6.6, 0.697, 0.268,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     111,     600,     4511,    23.5, 0.349, 0.535,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   3.500,    10.8,      109,     7.8, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     h,    vh,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     162,     756,     7553,    32.4, 0.373, 0.518,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  66.600,   352.8,     2077,      21, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,     233,    8211,     8848,    53.1,     0,     0,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     h,    vh,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     352,    1200,    17597,    42.9, 0.296, 0.496,    0,            #
       1,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,    xh,    xh,     l,     h,     h,    n,     h,     n,     h,     h,    n,     n,   7.500,      72,      226,    13.6, 0.350, 0.500,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,  16.300,     480,     1253,    21.5, 0.449, 0.596,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     n,    vh,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     165,      97,     7867,    31.5, 0.323, 0.516,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,   6.200,      12,      477,    15.4, 0.449, 0.597,    0,            #
       5,    h,    h,    h,   vh,     h,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,      60,     409,     2004,    24.9, 0.349, 0.500,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,       3,      38,      231,      12, 0.449, 0.597,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,    xh,     l,     h,     n,    n,     h,     n,     h,     n,    n,     n,  32.500,      60,     1276,    20.8, 0.424, 0.516,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  19.700,      60,      614,    13.9, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  66.600,     300,     2077,      21, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  29.500,     120,      920,      16, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,     n,    n,    n,     h,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,      15,      90,      575,    15.2, 0.399, 0.569,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     n,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,      38,     210,     1553,    21.3, 0.449, 0.531,    0,            #
       2,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,      10,      48,      427,    12.4, 0.399, 0.569,    0,            #
       2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     h,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,      16,     114,      887,    16.4, 0.499, 0.556,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  15.400,      70,      765,    14.5, 0.474, 0.544,    0,            #
       2,    h,    h,    h,   vh,     h,     n,     h,     h,    n,    n,    vh,     h,     l,     h,     h,    n,     n,     l,     h,     n,    n,     l, 177.900,    1248,     7998,    31.5, 0.422, 0.516,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  48.500,     239,     2409,    21.4, 0.473, 0.544,    0,            #
       6,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     h,    n,     n,     n,     n,     n,    n,     n,     302,    2400,     8543,    38.4, 0.545, 0.471,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  16.300,      82,      810,    14.8, 0.474, 0.544,    0,            #
       5,    h,    h,    h,   vh,     h,     n,     h,     l,    n,    n,     n,     n,     h,     h,     n,    n,     h,     n,     n,     h,    n,     n, 282.100,    1368,     9820,    37.3, 0.347, 0.570,    0,            #
       5,    h,    h,    h,   vh,     h,     h,     h,     l,    n,    n,     n,     n,     n,     h,     n,    n,     h,     n,     n,     n,    n,     n, 284.700,     973,     8518,    38.1, 0.347, 0.500,    0,            #
       5,    h,    h,    h,   vh,     n,     h,     h,     n,    n,    n,     n,     n,     l,     n,     h,    n,     h,     n,     h,     n,    n,     n,      79,     400,     2327,    26.9, 0.399, 0.499,    0,            #
       5,    h,    h,    h,   vh,     l,     l,     n,     n,    n,    n,     n,     n,     l,     h,    vh,    n,     h,     n,     h,     n,    n,     n,     423,    2400,    18447,    41.9, 0.370, 0.556,    0,            #
       6,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,    vh,    vh,    n,     n,     h,     h,     n,    n,     n,     350,     720,     8547,    35.7, 0.470, 0.546,    0,            #
       5,    h,    h,    h,   vh,     h,     n,     n,     n,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     l,     h,     n,    n,     n,     190,     420,     5092,    30.3, 0.372, 0.553,    0,            #
       5,    h,    h,    h,   vh,     h,     h,     n,    xh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     h,    n,     n,      70,     458,     2404,    27.5, 0.374, 0.553,    0,            #
       5,    h,    h,    h,   vh,     h,     n,     n,     h,    n,    n,     n,     h,     n,     h,     n,    n,     h,     n,     h,     n,    n,     n,  47.500,     252,     2007,    22.3, 0.349, 0.500,    0,            #
       5,    h,    h,    h,   vh,     h,     h,     n,    xh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     h,    n,     n,     271,    2460,     9308,    43.4, 0.372, 0.554,    0,            #
       5,    h,    h,    h,   vh,     l,    vh,     n,    xh,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     h,    n,     n,      21,     107,     1058,    21.3, 0.375, 0.616,    0,            #
       5,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,      90,     162,     2743,      25, 0.349, 0.535,    0,            #
       5,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,      40,     150,     1219,    18.9, 0.350, 0.535,    0,            #
       5,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     h,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,     137,     636,     4210,    32.2, 0.373, 0.518,    0,            #
       5,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     h,     n,     h,     h,     h,    n,     h,     n,     h,     n,    n,     n,     150,     882,     5848,    36.2, 0.348, 0.535,    0,            #
       5,    h,    h,    h,   vh,     h,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,     100,     703,     3340,    29.6, 0.349, 0.499,    0,            #
       5,    h,    h,    h,   vh,     n,    vh,     n,     h,    n,    n,     h,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,     339,     444,     8477,    45.9, 0.321, 0.517,    0,            #
       2,    h,    h,    h,   vh,     n,     h,    vh,    vh,    n,    n,    xh,    xh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,      32,    1350,     2984,    33.6, 0.399, 0.569,    0,            #
       5,    h,    h,    h,   vh,     n,     l,     h,     l,    n,    n,     n,     n,     h,     h,     h,    n,     h,     n,     h,     n,    n,     n,     240,     192,    10313,    37.1, 0.298, 0.531,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     h,     h,    n,    n,    vh,    xh,     h,     h,     h,    n,     h,     h,     h,     n,    n,     n,      53,     480,     2227,    28.8, 0.275, 0.471,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     144,     576,     6129,    28.8, 0.373, 0.518,    0,            #
       3,    h,    h,    h,   vh,     h,     h,     l,    vh,    n,    n,    vh,    xh,     l,    vh,    vh,    n,    vh,    vl,    vl,     h,    n,     n,      41,     599,     1594,      23, 0.374, 0.616,    0,            #
       3,    h,    h,    h,   vh,     h,     h,     l,    vh,    n,    n,    vh,    xh,     l,    vh,    vh,    n,    vh,    vl,    vl,     h,    n,     n,      24,     430,      933,    19.2, 0.374, 0.616,    0,            #
       5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,     165,  4178.2,     6266,    47.3, 0.075, 0.325,    0,            #
       5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,      65,  1772.5,     2468,    34.5, 0.076, 0.326,    0,            #
       5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,      70,  1645.9,     2658,    35.4, 0.076, 0.326,    0,            #
       5,    h,    h,    h,   vh,     h,    vh,     h,    xh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,      50,  1924.5,     2102,    34.2, 0.101, 0.373,    0,            #
       5,    h,    h,    h,   vh,     l,    vh,     l,    vh,    n,    n,    vh,    xh,     l,     h,     n,    n,     l,    vl,     l,     h,    n,     n,   7.250,     648,      406,    15.6, 0.300, 0.597,    0,            #
