 cylinders, $displacement, $horsepower, $weight, $acceleration, model, origin, <mpg,      $_X,      $_Y,  #     notes
         4,           112,          88,    2605,     19.600000,    82,      1,   28, 0.275724, 0.438507,            #
         4,            90,          48,    2335,     23.700000,    80,      2, 43.4, 0.140322, 0.480823,            #
         4,           112,          88,    2640,     18.600000,    82,      1,   27, 0.283206, 0.439687,            #
         5,           121,          67,    2950,     19.900000,    80,      2, 36.4, 0.272790, 0.564302,            #
         4,           146,          67,    3250,     21.800000,    80,      2,   30, 0.210971, 0.473712,            #
         8,           318,         150,    3777,     12.500000,    73,      1,   15, 0.731225, 0.365558,            #
         8,           429,         198,    4952,     11.500000,    73,      1,   12, 0.907880, 0.049759,            #
         4,           122,          86,    2220,            14,    71,      1,   23, 0.368530, 0.542051,            #
         8,           400,         150,    4464,            12,    73,      1,   13, 0.781332, 0.355889,            #
         4,           116,          90,    2123,            14,    71,      2,   28, 0.233111, 0.501054,            #
         8,           390,         190,    3850,      8.500000,    70,      1,   15, 0.742662, 0.484711,            #
         8,           351,         158,    4363,            13,    73,      1,   13, 0.761692, 0.353349,            #
         4,            79,          70,    2074,     19.500000,    71,      2,   30, 0.170890, 0.483543,            #
         8,           383,         170,    3563,            10,    70,      1,   15, 0.708498, 0.482439,            #
         8,           318,         150,    4237,     14.500000,    73,      1,   14, 0.732284, 0.360237,            #
         4,            88,          76,    2065,     14.500000,    71,      2,   30, 0.209688, 0.503434,            #
         8,           340,         160,    3609,             8,    70,      1,   14, 0.702223, 0.493207,            #
         8,           440,         215,    4735,            11,    73,      1,   13, 0.852967, 0.344733,            #
         4,            71,          65,    1773,            19,    71,      3,   31, 0.225698, 0.583454,            #
         8,           400,         150,    3761,      9.500000,    70,      1,   15, 0.709489, 0.486233,            #
         8,           455,         225,    4951,            11,    73,      1,   12, 0.937737, 0.000968,            #
         4,            72,          69,    1613,            18,    71,      3,   35, 0.230328, 0.587806,            #
         8,           455,         225,    3086,            10,    70,      1,   14, 0.754484, 0.501809,            #
         8,           360,         175,    3821,            11,    73,      1,   13, 0.772601, 0.356825,            #
         4,            97,          60,    1834,            19,    71,      2,   27, 0.165771, 0.487366,            #
         4,           113,          95,    2372,            15,    70,      3,   24, 0.303314, 0.575713,            #
         6,           225,         105,    3121,     16.500000,    73,      1,   18, 0.558768, 0.500749,            #
         4,            91,          70,    1955,     20.500000,    71,      1,   26, 0.297993, 0.543304,            #
         6,           198,          95,    2833,     15.500000,    70,      1,   22, 0.474421, 0.576113,            #
         6,           232,         100,    2914,            16,    75,      1,   20, 0.487898, 0.569742,            #
         6,           250,         100,    3278,            18,    73,      1,   16, 0.558440, 0.498723,            #
         4,           113,          95,    2278,     15.500000,    72,      3,   24, 0.297261, 0.574954,            #
         6,           199,          97,    2774,     15.500000,    70,      1,   18, 0.474319, 0.576215,            #
         4,           140,          78,    2592,     18.500000,    75,      1,   23, 0.351157, 0.523787,            #
         4,            79,          67,    1950,            19,    74,      3,   31, 0.234960, 0.578887,            #
         4,     97.500000,          80,    2126,            17,    72,      1,   25, 0.334526, 0.539971,            #
         6,           200,          85,    2587,            16,    70,      1,   21, 0.457599, 0.581663,            #
         4,           134,          96,    2702,     13.500000,    75,      3,   24, 0.330297, 0.576238,            #
         4,           122,          80,    2451,     16.500000,    74,      1,   26, 0.355368, 0.531247,            #
         4,            97,          88,    2130,     14.500000,    70,      3,   27, 0.289344, 0.584161,            #
         4,            90,          71,    2223,     16.500000,    75,      2,   25, 0.198850, 0.490894,            #
         4,            71,          65,    1836,            21,    74,      3,   32, 0.214756, 0.580238,            #
         4,           119,          97,    2545,            17,    75,      3,   24, 0.298972, 0.566399,            #
         4,           140,          75,    2542,            17,    74,      1,   25, 0.357237, 0.527413,            #
         6,           171,          97,    2984,     14.500000,    75,      1,   18, 0.478168, 0.579577,            #
         6,           250,         100,    3781,            17,    74,      1,   16, 0.513418, 0.563398,            #
         4,            90,          70,    1937,            14,    75,      2,   29, 0.205581, 0.509029,            #
         6,           258,         110,    3632,            18,    74,      1,   16, 0.511851, 0.560378,            #
         6,           232,          90,    3211,            17,    75,      1,   19, 0.483641, 0.569172,            #
         6,           225,         105,    3613,     16.500000,    74,      1,   18, 0.506991, 0.564059,            #
         4,           115,          95,    2694,            15,    75,      2,   23, 0.247036, 0.489983,            #
         8,           302,         140,    4141,            14,    74,      1,   16, 0.654034, 0.475715,            #
         4,           120,          88,    2957,            17,    75,      2,   23, 0.238965, 0.480183,            #
         8,           350,         150,    4699,     14.500000,    74,      1,   13, 0.689796, 0.473877,            #
         8,           318,         150,    4457,     13.500000,    74,      1,   14, 0.678708, 0.473875,            #
         8,           350,         155,    4360,     14.900000,    79,      1, 16.9, 0.680385, 0.470436,            #
         8,           351,         142,    4054,     14.300000,    79,      1, 15.5, 0.666453, 0.473049,            #
         8,           260,         110,    3365,     15.500000,    78,      1, 19.9, 0.587125, 0.491814,            #
         8,           267,         125,    3605,            15,    79,      1, 19.2, 0.610039, 0.484072,            #
         8,           318,         140,    3735,     13.200000,    78,      1, 19.4, 0.651998, 0.477175,            #
         4,           120,          88,    3270,     21.900000,    76,      2,   19, 0.216953, 0.473757,            #
         8,           360,         150,    3940,            13,    79,      1, 18.5, 0.679674, 0.473019,            #
         8,           302,         139,    3570,     12.800000,    78,      1, 20.2, 0.643800, 0.480672,            #
         6,           156,         108,    2930,     15.500000,    76,      3,   19, 0.406176, 0.626587,            #
         4,            89,          71,    1925,            14,    79,      2, 31.9, 0.205581, 0.509223,            #
         6,           231,         105,    3535,     19.200000,    78,      1, 19.2, 0.489203, 0.564614,            #
         6,           168,         120,    3820,     16.700000,    76,      2, 16.5, 0.370720, 0.561415,            #
         4,            86,          65,    1975,     15.200000,    79,      3, 34.1, 0.260991, 0.589053,            #
         6,           200,          95,    3155,     18.200000,    78,      1, 20.5, 0.467450, 0.570850,            #
         8,           350,         180,    4380,     12.100000,    76,      1, 16.5, 0.716003, 0.470452,            #
         4,            98,          80,    1915,     14.400000,    79,      1, 35.7, 0.345007, 0.552637,            #
         6,           200,          85,    2965,     15.800000,    78,      1, 20.2, 0.470311, 0.577050,            #
         8,           350,         145,    4055,            12,    76,      1,   13, 0.682981, 0.475858,            #
         4,           121,          80,    2670,            15,    79,      1, 27.4, 0.371304, 0.533156,            #
         4,           140,          88,    2720,     15.400000,    78,      1, 25.1, 0.381750, 0.525908,            #
         8,           302,         130,    3870,            15,    76,      1,   13, 0.632608, 0.478105,            #
         5,           183,          77,    3530,     20.100000,    79,      2, 25.4, 0.315605, 0.559050,            #
         6,           225,         100,    3430,     17.200000,    78,      1, 20.5, 0.493557, 0.565523,            #
         8,           318,         150,    3755,            14,    76,      1,   13, 0.654276, 0.473754,            #
         8,           350,         125,    3900,     17.400000,    79,      1,   23, 0.629988, 0.480264,            #
         6,           232,          90,    3210,     17.200000,    78,      1, 19.4, 0.482326, 0.569102,            #
         4,            98,          68,    2045,     18.500000,    77,      3, 31.5, 0.247778, 0.575417,            #
         6,           231,         105,    3380,     15.800000,    78,      1, 20.6, 0.506356, 0.564764,            #
         4,           111,          80,    2155,     14.800000,    77,      1,   30, 0.353835, 0.543507,            #
         4,            79,          58,    1825,     18.600000,    77,      2,   36, 0.160970, 0.491295,            #
         4,           112,          88,    2395,            18,    82,      1,   34, 0.279653, 0.443581,            #
         4,           112,          85,    2575,     16.200000,    82,      1,   31, 0.294613, 0.447941,            #
         4,            91,          67,    1850,     13.800000,    80,      3, 44.6, 0.269161, 0.596539,            #
         4,           135,          84,    2525,            16,    82,      1,   29, 0.301033, 0.445745,            #
         4,            85,           ?,    1835,     17.300000,    80,      2, 40.9, 0.163361, 0.498038,            #
         4,           151,          90,    2735,            18,    82,      1,   27, 0.303720, 0.434154,            #
         4,            97,          67,    2145,            18,    80,      3, 33.8, 0.253013, 0.575421,            #
         4,           140,          92,    2865,     16.400000,    82,      1,   24, 0.315784, 0.439248,            #
         4,            89,          62,    1845,     15.300000,    80,      2, 29.8, 0.188682, 0.503928,            #
         4,           151,           ?,    3035,     20.500000,    82,      1,   23, 0.266761, 0.443937,            #
         6,           168,         132,    2910,     11.400000,    80,      3, 32.7, 0.452078, 0.637765,            #
         4,           105,          74,    1980,     15.300000,    82,      2,   36, 0.139385, 0.382025,            #
         3,            70,         100,    2420,     12.500000,    80,      3, 23.7, 0.377178, 0.657678,            #
         4,            91,          68,    2025,     18.200000,    82,      3,   37, 0.180220, 0.486567,            #
         4,           122,          88,    2500,     15.100000,    80,      2,   35, 0.237991, 0.489911,            #
         4,            91,          68,    1970,     17.600000,    82,      3,   31, 0.182412, 0.489551,            #
         4,           140,           ?,    2905,     14.300000,    80,      1, 23.6, 0.365799, 0.543956,            #
         4,           105,          63,    2125,     14.700000,    82,      1,   38, 0.273429, 0.468128,            #
         4,           107,          72,    2290,            17,    80,      3, 32.4, 0.270411, 0.573826,            #
         4,           135,          84,    2490,     15.700000,    81,      1, 27.2, 0.368552, 0.529659,            #
         4,            97,          54,    2254,     23.500000,    72,      2,   23, 0.145476, 0.479105,            #
         4,           140,          90,    2408,     19.500000,    72,      1,   20, 0.347345, 0.522993,            #
         4,            97,          46,    1835,     20.500000,    70,      2,   26, 0.146630, 0.486777,            #
         4,           122,          86,    2226,     16.500000,    72,      1,   21, 0.352653, 0.533456,            #
         4,           110,          87,    2672,     17.500000,    70,      2,   25, 0.223270, 0.479679,            #
         8,           350,         165,    4274,            12,    72,      1,   13, 0.703224, 0.471748,            #
         4,           107,          90,    2430,     14.500000,    70,      2,   24, 0.236312, 0.495636,            #
         8,           400,         175,    4385,            12,    72,      1,   14, 0.729323, 0.471149,            #
         4,           104,          95,    2375,     17.500000,    70,      2,   25, 0.217830, 0.482024,            #
         8,           318,         150,    4135,     13.500000,    72,      1,   15, 0.668974, 0.472926,            #
         4,           121,         113,    2234,     12.500000,    70,      2,   26, 0.263361, 0.509717,            #
         8,           351,         153,    4129,            13,    72,      1,   14, 0.684563, 0.471839,            #
         6,           199,          90,    2648,            15,    70,      1,   21, 0.468954, 0.581042,            #
         8,           304,         150,    3672,     11.500000,    72,      1,   17, 0.663364, 0.480694,            #
         8,           360,         215,    4615,            14,    70,      1,   10, 0.737929, 0.472334,            #
         4,           121,          98,    2945,     14.500000,    75,      2,   22, 0.261790, 0.491541,            #
         8,           429,         208,    4633,            11,    72,      1,   11, 0.774961, 0.475554,            #
         8,           307,         200,    4376,            15,    70,      1,   10, 0.697177, 0.472365,            #
         4,           121,         115,    2671,     13.500000,    75,      2,   25, 0.271510, 0.498925,            #
         8,           302,         140,    4638,            16,    74,      1,   14, 0.656212, 0.478554,            #
         8,           350,         155,    4502,     13.500000,    72,      1,   13, 0.693670, 0.471719,            #
         8,           318,         210,    4382,     13.500000,    70,      1,   11, 0.717309, 0.473212,            #
         4,            91,          53,    1795,     17.500000,    75,      3,   33, 0.234196, 0.586208,            #
         8,           304,         150,    4257,     15.500000,    74,      1,   14, 0.655355, 0.473146,            #
         6,           232,         100,    2945,            16,    73,      1,   18, 0.555485, 0.504564,            #
         8,           304,         193,    4732,     18.500000,    70,      1,    9, 0.679733, 0.481290,            #
         4,           107,          86,    2464,     15.500000,    76,      2,   28, 0.228192, 0.489976,            #
         4,            98,          83,    2219,     16.500000,    74,      2,   29, 0.209452, 0.488688,            #
         6,           250,          88,    3021,     16.500000,    73,      1,   18, 0.552132, 0.506466,            #
         4,           116,          81,    2220,     16.900000,    76,      2,   25, 0.211286, 0.484876,            #
         4,            79,          67,    1963,     15.500000,    74,      2,   26, 0.191184, 0.501503,            #
         6,           198,          95,    2904,            16,    73,      1,   23, 0.540006, 0.512357,            #
         4,           140,          92,    2572,     14.900000,    76,      1,   25, 0.383212, 0.528425,            #
         4,            97,          78,    2300,     14.500000,    74,      2,   26, 0.221022, 0.499113,            #
         4,            97,          46,    1950,            21,    73,      2,   26, 0.213545, 0.458908,            #
         4,            98,          79,    2255,     17.700000,    76,      1,   26, 0.333407, 0.536447,            #
         4,            76,          52,    1649,     16.500000,    74,      3,   31, 0.230746, 0.594565,            #
         8,           400,         150,    4997,            14,    73,      1,   11, 0.784597, 0.358955,            #
         4,           101,          83,    2202,     15.300000,    76,      2,   27, 0.217601, 0.494539,            #
         4,            83,          61,    2003,            19,    74,      3,   32, 0.233749, 0.578684,            #
         8,           400,         167,    4906,     12.500000,    73,      1,   12, 0.869711, 0.106466,            #
         8,           305,         140,    4215,            13,    76,      1, 17.5, 0.663650, 0.477018,            #
         4,            90,          75,    2125,     14.500000,    74,      1,   28, 0.344758, 0.550741,            #
         8,           360,         170,    4654,            13,    73,      1,   13, 0.781530, 0.349226,            #
         8,           318,         150,    4190,            13,    76,      1,   16, 0.673848, 0.473695,            #
         4,            90,          75,    2108,     15.500000,    74,      2,   24, 0.204521, 0.496835,            #
         8,           350,         180,    4499,     12.500000,    73,      1,   12, 0.850331, 0.109948,            #
         4,           116,          75,    2246,            14,    74,      2,   26, 0.226612, 0.500799,            #
         6,           232,         100,    2789,            15,    73,      1,   18, 0.557192, 0.508365,            #
         4,            97,          88,    2279,            19,    73,      3,   20, 0.331594, 0.532862,            #
         6,           200,          85,    3070,     16.700000,    78,      1, 20.8, 0.467704, 0.575020,            #
         6,           225,         110,    3620,     18.700000,    78,      1, 18.6, 0.496478, 0.563321,            #
         4,           122,          96,    2300,     15.500000,    77,      1, 25.5, 0.368125, 0.533029,            #
         6,           258,         120,    3410,     15.100000,    78,      1, 18.1, 0.530579, 0.560023,            #
         4,            85,          70,    1945,     16.800000,    77,      3, 33.5, 0.252895, 0.582795,            #
         8,           305,         145,    3425,     13.200000,    78,      1, 19.2, 0.641891, 0.480028,            #
         8,           305,         145,    3880,     12.500000,    77,      1, 17.5, 0.660141, 0.477359,            #
         6,           231,         165,    3445,     13.400000,    78,      1, 17.7, 0.564605, 0.562391,            #
         8,           260,         110,    4060,            19,    77,      1,   17, 0.585653, 0.492873,            #
         8,           302,         139,    3205,     11.200000,    78,      1, 18.1, 0.643044, 0.490562,            #
         8,           318,         145,    4140,     13.700000,    77,      1, 15.5, 0.664435, 0.473750,            #
         8,           318,         140,    4080,     13.700000,    78,      1, 17.5, 0.659216, 0.474993,            #
         8,           302,         130,    4295,     14.900000,    77,      1,   15, 0.646097, 0.478400,            #
         4,            98,          68,    2155,     16.500000,    78,      1,   30, 0.330599, 0.543796,            #
         6,           250,         110,    3520,     16.400000,    77,      1, 17.5, 0.516194, 0.560978,            #
         4,           134,          95,    2560,     14.200000,    78,      3, 27.5, 0.320827, 0.574282,            #
         6,           231,         105,    3425,     16.900000,    77,      1, 20.5, 0.500651, 0.563752,            #
         4,           119,          97,    2300,     14.700000,    78,      3, 27.2, 0.306339, 0.576831,            #
         6,           225,         100,    3630,     17.700000,    77,      1,   19, 0.496392, 0.565218,            #
         6,           250,          98,    3525,            19,    77,      1, 18.5, 0.491471, 0.565022,            #
         4,            98,          70,    2125,     17.300000,    82,      1,   36, 0.259266, 0.455609,            #
         4,           120,          88,    2160,     14.500000,    82,      3,   36, 0.230930, 0.497077,            #
         4,           151,          84,    2635,     16.400000,    81,      1, 26.6, 0.373537, 0.523475,            #
         4,           107,          75,    2205,     14.500000,    82,      3,   36, 0.219293, 0.499182,            #
         4,           141,          71,    3190,     24.800000,    79,      2, 27.2, 0.191019, 0.477251,            #
         4,           156,          92,    2620,     14.400000,    81,      1, 25.8, 0.392972, 0.527139,            #
         4,           108,          70,    2245,     16.900000,    82,      3,   34, 0.202000, 0.486708,            #
         8,           260,          90,    3420,     22.200000,    79,      1, 23.9, 0.532130, 0.513436,            #
         6,           173,         110,    2725,     12.600000,    81,      1, 23.5, 0.492035, 0.585214,            #
         4,            91,          67,    1965,            15,    82,      3,   38, 0.198280, 0.502629,            #
         4,           105,          70,    2200,     13.200000,    79,      1, 34.2, 0.356749, 0.553703,            #
         4,           135,          84,    2385,     12.900000,    81,      1,   30, 0.383363, 0.542493,            #
         4,            91,          67,    1965,     15.700000,    82,      3,   32, 0.193783, 0.498662,            #
         4,           105,          70,    2150,     14.900000,    79,      1, 34.5, 0.344318, 0.547147,            #
         4,            79,          58,    1755,     16.900000,    81,      3, 39.1, 0.236423, 0.589219,            #
         4,            91,          67,    1995,     16.200000,    82,      3,   38, 0.191479, 0.495611,            #
         4,            85,          65,    2020,     19.200000,    79,      3, 31.8, 0.236340, 0.576995,            #
         4,            86,          64,    1875,     16.400000,    81,      1,   39, 0.316229, 0.553231,            #
         6,           181,         110,    2945,     16.400000,    82,      1,   25, 0.410177, 0.511389,            #
         4,            91,          69,    2130,     14.700000,    79,      2, 37.3, 0.206556, 0.501835,            #
         4,            81,          60,    1760,     16.100000,    81,      3, 35.1, 0.243713, 0.591125,            #
         6,           262,          85,    3015,            17,    82,      1,   38, 0.417220, 0.511001,            #
         4,           151,          90,    2670,            16,    79,      1, 28.4, 0.381251, 0.522588,            #
         4,            97,          67,    2065,     17.800000,    81,      3, 32.3, 0.251879, 0.576983,            #
         4,           156,          92,    2585,     14.500000,    82,      1,   26, 0.324622, 0.447987,            #
         4,            85,          65,    1975,     19.400000,    81,      3,   37, 0.233696, 0.577363,            #
         6,           173,         115,    2595,     11.300000,    79,      1, 28.8, 0.499861, 0.591716,            #
         4,            89,          62,    2050,     17.300000,    81,      3, 37.7, 0.248682, 0.580728,            #
         6,           173,         115,    2700,     12.900000,    79,      1, 26.8, 0.492758, 0.583571,            #
         4,           151,          90,    2556,     13.200000,    79,      1, 33.5, 0.395790, 0.534318,            #
         8,           350,         160,    4456,     13.500000,    72,      1,   12, 0.762335, 0.352514,            #
         8,           400,         190,    4422,     12.500000,    72,      1,   13, 0.737447, 0.469830,            #
         4,            97,          88,    2130,     14.500000,    71,      3,   27, 0.289344, 0.584161,            #
         3,            70,          97,    2330,     13.500000,    72,      3,   19, 0.365990, 0.655062,            #
         4,           140,          90,    2264,     15.500000,    71,      1,   28, 0.368685, 0.531791,            #
         8,           304,         150,    3892,     12.500000,    72,      1,   15, 0.663591, 0.476349,            #
         4,           113,          95,    2228,            14,    71,      3,   25, 0.305385, 0.581928,            #
         8,           307,         130,    4098,            14,    72,      1,   13, 0.647516, 0.478197,            #
         4,            98,           ?,    2046,            19,    71,      1,   25, 0.296261, 0.548929,            #
         8,           302,         140,    4294,            16,    72,      1,   13, 0.645813, 0.475819,            #
         6,           232,         100,    2634,            13,    71,      1,   19, 0.498703, 0.580655,            #
         8,           318,         150,    4077,            14,    72,      1,   14, 0.664009, 0.472407,            #
         6,           225,         105,    3439,     15.500000,    71,      1,   16, 0.508155, 0.565436,            #
         4,           121,         112,    2933,     14.500000,    72,      2,   18, 0.270963, 0.491945,            #
         6,           250,         100,    3329,     15.500000,    71,      1,   17, 0.509390, 0.565409,            #
         8,           304,         120,    3962,     13.900000,    76,      1, 15.5, 0.636280, 0.482092,            #
         4,           121,          76,    2511,            18,    72,      2,   22, 0.211204, 0.478279,            #
         6,           250,          88,    3302,     15.500000,    71,      1,   19, 0.500400, 0.569562,            #
         8,           351,         152,    4215,     12.800000,    76,      1, 14.5, 0.687766, 0.472330,            #
         4,           120,          97,    2489,            15,    74,      3,   24, 0.310444, 0.573284,            #
         4,           120,          87,    2979,     19.500000,    72,      2,   21, 0.222890, 0.473336,            #
         6,           232,         100,    3288,     15.500000,    71,      1,   18, 0.502415, 0.566963,            #
         6,           225,         100,    3233,     15.400000,    76,      1,   22, 0.499164, 0.568091,            #
         4,           108,          93,    2391,     15.500000,    74,      3,   26, 0.297722, 0.574482,            #
         4,           140,          72,    2401,     19.500000,    73,      1,   21, 0.401523, 0.478599,            #
         8,           350,         165,    4209,            12,    71,      1,   14, 0.701259, 0.471749,            #
